"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $170.84/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode"
"0x9c59cb31e7f080aa2e457ec160b5f54d436f8dbf3c776e9849ae8baa1c68d561","8272745","1564768908","8/2/2019 6:01:48 PM","0x8589427373d6d84e98730d7795d8f6f8731fda16","","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","0","0","0","0.006898832","1.17859645888","217.70","","",""
"0x6251796e9b9f2b57f927ba25aeeadd8304cf9e265775e03fdf92289f98370b1e","8273340","1564777202","8/2/2019 8:20:02 PM","0xa43ce8cc89eff3aa5593c742fc56a30ef2427cb0","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0.1","0","17.084","0.00608824468415112","1.04011572184038","217.70","","",""
"0x84e4d14241690e4af4e45ead9dca243bb9a01a3db0d8abb02a5c80bd445e2545","8273365","1564777569","8/2/2019 8:26:09 PM","0x8e3e30911bd9670aa277e9268bd78c70ef28afbd","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0","0","0","0.01393686","2.3809731624","217.70","","",""
"0x946b2d1323610f713d53188502d9620a2ec59da15486621da81af0608ed5691e","8279007","1564852773","8/3/2019 5:19:33 PM","0xc8c30fa803833dd1fd6dbcdd91ed0b301eff87cf","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0.1","0","17.084","0.007061808","1.20643927872","217.73","","",""
"0xece276c3cab38e78f94b41eda8716bebb8719d3e6050b202869511699921316e","8279011","1564852837","8/3/2019 5:20:37 PM","0x8e3e30911bd9670aa277e9268bd78c70ef28afbd","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0","0","0","0.002090721","0.35717877564","217.73","","",""
"0x1c1ba5e3d6ce3f8a2a191d36d669a5674aa3dd1c021e053f5f6c96d44c3b11e5","8279604","1564860675","8/3/2019 7:31:15 PM","0x86b6b58b85b68630435b381e61144341ec361337","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0.1","0","17.084","0.001323993","0.22619096412","217.73","","",""
"0x72338ae1aeb3e91084e67e31e4da7a1ce889003b15513e0915fac26a4fe141ed","8279609","1564860800","8/3/2019 7:33:20 PM","0x16d86bc643fed8336621092975201194c09cca36","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0","0","0","0.002090145","0.3570803718","217.73","","",""
"0xad42202b91c61590a44f5a9e1ef6490993eb2aad1395ae8dbc8b02835937e6aa","8280847","1564877053","8/4/2019 12:04:13 AM","0xc8c30fa803833dd1fd6dbcdd91ed0b301eff87cf","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0.1","0","17.084","0.007018368","1.19901798912","222.70","","",""
"0x20ae3a23ecf0fc08457bacebde768ad4a2b34e8fce81f125388c0df3d30d6319","8280853","1564877125","8/4/2019 12:05:25 AM","0x16d86bc643fed8336621092975201194c09cca36","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0","0","0","0.002090913","0.35721157692","222.70","","",""
"0x0e54a8cc2bf9eae3672ccf66b872b5c1678387d7515d102ac049a12f8fa4d56d","8283197","1564908430","8/4/2019 8:47:10 AM","0x7d8e6cfb1b8709139631cac4cc458f63611ffdf8","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0.1","0","17.084","0.000883608726","0.15095571474984","222.70","","",""
"0x0a2ecfc363efd1e080f03a51b6ae60f46e63e6690f3d40384c3534fbb07ae15e","8283215","1564908620","8/4/2019 8:50:20 AM","0x7d8e6cfb1b8709139631cac4cc458f63611ffdf8","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0","0","0","0.000689551863","0.11780304027492","222.70","","",""
"0xb449d7c803ac9933f9357039836383ce8a4f09b19dfe13338d5281d3cdea4f3b","8283242","1564909000","8/4/2019 8:56:40 AM","0x7d8e6cfb1b8709139631cac4cc458f63611ffdf8","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0.1","0","17.084","0.000877424","0.14989911616","222.70","","",""
"0x91bfd0bc0f415cea89dc708b966d47af5484dc697ce70b27f8676800ca598431","8285103","1564934198","8/4/2019 3:56:38 PM","0xdcbeffbecce100cce9e4b153c4e15cb885643193","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0.1","0","17.084","0.007896816","1.34909204544","222.70","","",""
"0x9729f7fa602cd334d1f38ae26fa581411703d0509b603f5a3687f3ed881c1ae8","8285178","1564935139","8/4/2019 4:12:19 PM","0xb435871b0959561226b4d903b1abf79528177e81","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0.1","0","17.084","0.000872122","0.14899332248","222.70","","",""
"0xbbdef75ca7db6820df03f136864c044e2ec18c38b84dde813a55cf5a09bb9fb5","8285244","1564935960","8/4/2019 4:26:00 PM","0x58def8a16a8f3e14a10e6bf62ec28d626505daed","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0.1","0","17.084","0.007061808","1.20643927872","222.70","","",""
"0x5a51fd3d9095831629165f51d8df9b63d5d131d8745c9d44ba5f5c2f05ea6df1","8285646","1564941127","8/4/2019 5:52:07 PM","0xc9724bfb6396ef602ce9991332d4c0acd36a7f06","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0.1","0","17.084","0.007019392","1.19919292928","222.70","","",""
"0x8e8b86a90513e131a0c9cbc80f6e879d04e2fc804096e1d9e51cdeb55bd86bce","8286104","1564947483","8/4/2019 7:38:03 PM","0x0236cbee20e199144e7435f1db39c482448d8534","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0.1","0","17.084","0.007019392","1.19919292928","222.70","","",""
"0xb75b5967b58935746deceb97c086e12f112105a7e9ccad3156c24ee39bf5260d","8287533","1564966726","8/5/2019 12:58:46 AM","0x29cfee3953a95a04f78725cf8a83943571441393","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0.1","0","17.084","0.006976976","1.19194657984","233.19","","",""
"0x1cd7d2fce5c77cfa6f3d3db652301aab9c4c5df43915a1861582fc7530bb82f6","8287623","1564968084","8/5/2019 1:21:24 AM","0xd03f3e6c1b7272aa1f2336c1856a74d759fd0a6a","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0.1","0","17.084","0.01754848","2.9979823232","233.19","","",""
"0x9f59d65df85329f63733a93e611d882d56ad50ef803444a8f4b5f75b2ca37f4b","8287678","1564968700","8/5/2019 1:31:40 AM","0x7b70d4d3e1b4f0b3071f7ef9cf59ae1401903665","0x94a1b5cdb22c43faab4abeb5c74999895464ddaf","","0.1","0","17.084","0.006976976","1.19194657984","233.19","","",""
